"","estimate","low_ci","high_ci","year","lat_bin","lon_bin","scientificName","obs"
"1",228,215,243,2015,41.5,-93.5,"Danaus plexippus",31
"2",256,219,264,2016,41.5,-93.5,"Danaus plexippus",17
"3",234.5,193.5,250,2017,41.5,-93.5,"Danaus plexippus",14
"4",216,202,230,2018,41.5,-93.5,"Danaus plexippus",28
"5",250,237,255,2018,38.5,-90.5,"Danaus plexippus",127
"6",247,174,259,2018,41.5,-90.5,"Danaus plexippus",15
"7",218,203,237,2018,40.5,-89.5,"Danaus plexippus",13
"8",235,210,265,2015,41.5,-88.5,"Danaus plexippus",10
"9",227.5,205,252,2017,41.5,-88.5,"Danaus plexippus",12
"10",214.5,198.5,225,2018,41.5,-88.5,"Danaus plexippus",82
"11",215.5,183,245,2014,41.5,-87.5,"Danaus plexippus",13
"12",220,211,242,2015,41.5,-87.5,"Danaus plexippus",34
"13",254,247,257,2016,41.5,-87.5,"Danaus plexippus",39
"14",213,208,224,2017,41.5,-87.5,"Danaus plexippus",122
"15",227,220,234,2018,41.5,-87.5,"Danaus plexippus",347
"16",224,195,237,2018,41.5,-85.5,"Danaus plexippus",13
"17",240.5,221,254,2015,39.5,-84.5,"Danaus plexippus",11
"18",260,249,267,2016,39.5,-84.5,"Danaus plexippus",65
"19",224,210,231,2017,39.5,-84.5,"Danaus plexippus",94
"20",217,196,218,2017,41.5,-83.5,"Danaus plexippus",41
"21",285,251,285,2016,39.5,-82.5,"Danaus plexippus",11
"22",232,211,260,2017,39.5,-82.5,"Danaus plexippus",19
"23",231,215,241,2017,40.5,-82.5,"Danaus plexippus",12
"24",218.5,207.5,237,2014,41.5,-81.5,"Danaus plexippus",20
"25",247,230.5,254.5,2015,41.5,-81.5,"Danaus plexippus",64
"26",247.5,237,263,2016,41.5,-81.5,"Danaus plexippus",42
"27",226,215,232,2017,41.5,-81.5,"Danaus plexippus",126
"28",244,221,256,2015,38.5,-77.5,"Danaus plexippus",13
"29",272,261,276,2016,38.5,-77.5,"Danaus plexippus",54
"30",241.5,229,262,2017,38.5,-77.5,"Danaus plexippus",115
"31",224,212,247,2015,41.5,-93.5,"Phyciodes tharos",33
"32",243,227,259.5,2016,41.5,-93.5,"Phyciodes tharos",22
"33",226,148,241,2018,41.5,-93.5,"Phyciodes tharos",13
"34",244.5,222,249.5,2018,38.5,-90.5,"Phyciodes tharos",54
"35",224,217,244.5,2018,41.5,-88.5,"Phyciodes tharos",22
"36",200,153,228,2014,41.5,-87.5,"Phyciodes tharos",11
"37",209,190,213,2015,41.5,-87.5,"Phyciodes tharos",13
"38",254,236,257,2016,41.5,-87.5,"Phyciodes tharos",23
"39",225.5,210,239.5,2017,41.5,-87.5,"Phyciodes tharos",48
"40",230,211,242,2018,41.5,-87.5,"Phyciodes tharos",59
"41",249,240,260.5,2016,39.5,-84.5,"Phyciodes tharos",76
"42",209,187,223.5,2017,39.5,-84.5,"Phyciodes tharos",90
"43",210.5,141,251,2017,40.5,-83.5,"Phyciodes tharos",10
"44",217,180,222,2017,41.5,-83.5,"Phyciodes tharos",32
"45",185.5,138.5,235,2017,39.5,-82.5,"Phyciodes tharos",18
"46",222,200,222,2016,41.5,-82.5,"Phyciodes tharos",22
"47",207,194,227,2014,41.5,-81.5,"Phyciodes tharos",16
"48",203,184,208,2015,41.5,-81.5,"Phyciodes tharos",25
"49",146,141,194,2016,41.5,-81.5,"Phyciodes tharos",39
"50",228.5,210,241.5,2017,41.5,-81.5,"Phyciodes tharos",44
"51",225,191.5,236,2014,38.5,-77.5,"Phyciodes tharos",10
"52",176.5,133,238,2015,38.5,-77.5,"Phyciodes tharos",12
"53",225,141,252,2016,38.5,-77.5,"Phyciodes tharos",25
"54",183,135,217.5,2017,38.5,-77.5,"Phyciodes tharos",32
"55",210,186,216,2017,41.5,-93.5,"Papilio glaucus",19
"56",203,147,211,2018,41.5,-93.5,"Papilio glaucus",13
"57",232,206,250,2016,38.5,-90.5,"Papilio glaucus",13
"58",215,205,219,2017,38.5,-90.5,"Papilio glaucus",21
"59",194,136,217,2018,38.5,-90.5,"Papilio glaucus",32
"60",205,200,218,2018,41.5,-88.5,"Papilio glaucus",17
"61",221,189,228,2014,41.5,-87.5,"Papilio glaucus",11
"62",214,207,219,2016,41.5,-87.5,"Papilio glaucus",25
"63",206.5,183.5,210,2017,41.5,-87.5,"Papilio glaucus",32
"64",216,204,222,2018,41.5,-87.5,"Papilio glaucus",45
"65",219.5,211,232,2016,39.5,-84.5,"Papilio glaucus",46
"66",203,147,203,2017,39.5,-84.5,"Papilio glaucus",37
"67",198,165.5,214,2017,41.5,-83.5,"Papilio glaucus",26
"68",206,129,214,2016,39.5,-82.5,"Papilio glaucus",11
"69",150,117.5,211.5,2017,39.5,-82.5,"Papilio glaucus",20
"70",215.5,210,221.5,2014,41.5,-81.5,"Papilio glaucus",30
"71",212,207,217.5,2015,41.5,-81.5,"Papilio glaucus",38
"72",206.5,191,213,2016,41.5,-81.5,"Papilio glaucus",48
"73",211,206,212,2017,41.5,-81.5,"Papilio glaucus",70
"74",166,122,166,2014,38.5,-77.5,"Papilio glaucus",15
"75",210,200,233,2015,38.5,-77.5,"Papilio glaucus",27
"76",219,207,226,2016,38.5,-77.5,"Papilio glaucus",99
"77",171.5,145,191,2017,38.5,-77.5,"Papilio glaucus",94
"78",204,170,215,2015,41.5,-93.5,"Pieris rapae",23
"79",188.5,166,206,2016,41.5,-93.5,"Pieris rapae",30
"80",208,124,222,2017,41.5,-93.5,"Pieris rapae",19
"81",208,164,216,2018,41.5,-93.5,"Pieris rapae",23
"82",250,246,266,2018,38.5,-90.5,"Pieris rapae",25
"83",200.5,163,256,2017,41.5,-88.5,"Pieris rapae",10
"84",200.5,175.5,211.5,2018,41.5,-88.5,"Pieris rapae",22
"85",228,177.5,259,2016,41.5,-87.5,"Pieris rapae",26
"86",217,196,231,2017,41.5,-87.5,"Pieris rapae",60
"87",234,212,234,2018,41.5,-87.5,"Pieris rapae",90
"88",249,233,255,2016,39.5,-84.5,"Pieris rapae",91
"89",184,167.5,196,2017,39.5,-84.5,"Pieris rapae",118
"90",195,168,204,2017,41.5,-83.5,"Pieris rapae",46
"91",215,126,215,2014,41.5,-82.5,"Pieris rapae",17
"92",255,131.5,266,2015,41.5,-82.5,"Pieris rapae",10
"93",219.5,194,241.5,2016,41.5,-82.5,"Pieris rapae",30
"94",208,202,214,2017,41.5,-82.5,"Pieris rapae",38
"95",176,170,205,2015,41.5,-81.5,"Pieris rapae",17
"96",176,118,176,2016,41.5,-81.5,"Pieris rapae",13
"97",185.5,176.5,208.5,2017,41.5,-81.5,"Pieris rapae",46
"98",190,101,190,2014,38.5,-77.5,"Pieris rapae",13
"99",248,233,260,2016,38.5,-77.5,"Pieris rapae",21
"100",189,145,230,2017,38.5,-77.5,"Pieris rapae",47
"101",232,212.5,250,2016,41.5,-93.5,"Epargyreus clarus",10
"102",216,147,226,2018,41.5,-93.5,"Epargyreus clarus",11
"103",252,244,258,2018,38.5,-90.5,"Epargyreus clarus",49
"104",229,181,241,2016,41.5,-88.5,"Epargyreus clarus",11
"105",212,191,217,2018,41.5,-88.5,"Epargyreus clarus",31
"106",228,196,245,2014,41.5,-87.5,"Epargyreus clarus",11
"107",219.5,184,225,2015,41.5,-87.5,"Epargyreus clarus",18
"108",254,217,261,2016,41.5,-87.5,"Epargyreus clarus",23
"109",216,206,227,2017,41.5,-87.5,"Epargyreus clarus",38
"110",212,209,219,2018,41.5,-87.5,"Epargyreus clarus",58
"111",248,235,254,2016,39.5,-84.5,"Epargyreus clarus",59
"112",195,168,207,2017,39.5,-84.5,"Epargyreus clarus",59
"113",196,183,217,2017,41.5,-83.5,"Epargyreus clarus",35
"114",218.5,193,228,2014,41.5,-81.5,"Epargyreus clarus",16
"115",202,168,223,2015,41.5,-81.5,"Epargyreus clarus",13
"116",202,183,211,2016,41.5,-81.5,"Epargyreus clarus",33
"117",206.5,190.5,214,2017,41.5,-81.5,"Epargyreus clarus",42
"118",208,166,215,2014,38.5,-77.5,"Epargyreus clarus",13
"119",216,142,222,2016,38.5,-77.5,"Epargyreus clarus",13
"120",204,171,210,2017,38.5,-77.5,"Epargyreus clarus",48
"121",167.5,142,179.5,2015,41.5,-93.5,"Vanessa atalanta",22
"122",179,127,229,2016,41.5,-93.5,"Vanessa atalanta",12
"123",124,107,178,2017,41.5,-93.5,"Vanessa atalanta",15
"124",214.5,147.5,253,2018,41.5,-93.5,"Vanessa atalanta",10
"125",161,103,175,2017,41.5,-88.5,"Vanessa atalanta",19
"126",192.5,171,203.5,2018,41.5,-88.5,"Vanessa atalanta",22
"127",184,139.064399705923,184,2015,41.5,-87.5,"Vanessa atalanta",22
"128",183,147,191,2016,41.5,-87.5,"Vanessa atalanta",28
"129",175,116,178,2017,41.5,-87.5,"Vanessa atalanta",81
"130",191,185,197,2018,41.5,-87.5,"Vanessa atalanta",82
"131",190,172,192,2015,39.5,-84.5,"Vanessa atalanta",11
"132",163,115,189,2016,39.5,-84.5,"Vanessa atalanta",27
"133",166,144,181,2017,39.5,-84.5,"Vanessa atalanta",56
"134",148,99,149,2017,40.5,-83.5,"Vanessa atalanta",11
"135",182,152,190,2017,41.5,-83.5,"Vanessa atalanta",21
"136",182,153.5,183.5,2015,41.5,-81.5,"Vanessa atalanta",20
"137",141,118,141,2016,41.5,-81.5,"Vanessa atalanta",13
