"estimate","low_ci","high_ci","year","lat_bin","lon_bin","scientificName"
179,159,207,2015,41.5,-93.5,"Danaus plexippus"
183.8,152,228.6,2016,41.5,-93.5,"Danaus plexippus"
190,176,226.8,2017,41.5,-93.5,"Danaus plexippus"
154,146.6,200.4,2018,41.5,-93.5,"Danaus plexippus"
206.8,181.2,220.4,2018,38.5,-90.5,"Danaus plexippus"
174,174,233.2,2018,41.5,-90.5,"Danaus plexippus"
189.2,134,215,2018,40.5,-89.5,"Danaus plexippus"
208.4,202,231.2,2015,41.5,-88.5,"Danaus plexippus"
202.3,177,216.2,2017,41.5,-88.5,"Danaus plexippus"
180.1,154,187,2018,41.5,-88.5,"Danaus plexippus"
182.1,178,196,2014,41.5,-87.5,"Danaus plexippus"
192,184,206,2015,41.5,-87.5,"Danaus plexippus"
219.8,215,236,2016,41.5,-87.5,"Danaus plexippus"
175.6,164,190.8,2017,41.5,-87.5,"Danaus plexippus"
174,164,176,2018,41.5,-87.5,"Danaus plexippus"
195,168,223,2018,41.5,-85.5,"Danaus plexippus"
216.5,206,237.1,2015,39.5,-84.5,"Danaus plexippus"
193.6,179,233,2016,39.5,-84.5,"Danaus plexippus"
166.4,146,186,2017,39.5,-84.5,"Danaus plexippus"
190,166,195,2017,41.5,-83.5,"Danaus plexippus"
256.4,251,285,2016,39.5,-82.5,"Danaus plexippus"
205.2,201,221.8,2017,39.5,-82.5,"Danaus plexippus"
215,215,227.8,2017,40.5,-82.5,"Danaus plexippus"
193,156,209.1,2014,41.5,-81.5,"Danaus plexippus"
203,193,212.7,2015,41.5,-81.5,"Danaus plexippus"
203.9,190,216,2016,41.5,-81.5,"Danaus plexippus"
196,190,200,2017,41.5,-81.5,"Danaus plexippus"
208.2,170,235,2015,38.5,-77.5,"Danaus plexippus"
197.8,161.6,238,2016,38.5,-77.5,"Danaus plexippus"
193.3,176.9,204,2017,38.5,-77.5,"Danaus plexippus"
175,151,202.8,2015,41.5,-93.5,"Phyciodes tharos"
219.1,179.9,227.2,2016,41.5,-93.5,"Phyciodes tharos"
147.2,146,211.2,2018,41.5,-93.5,"Phyciodes tharos"
183.2,175,203.4,2018,38.5,-90.5,"Phyciodes tharos"
193.5,143.1,217.2,2018,41.5,-88.5,"Phyciodes tharos"
153,149,196,2014,41.5,-87.5,"Phyciodes tharos"
166,141,204.4,2015,41.5,-87.5,"Phyciodes tharos"
224.8,142.8,245.4,2016,41.5,-87.5,"Phyciodes tharos"
162.8,156.1,186.9,2017,41.5,-87.5,"Phyciodes tharos"
179.6,156,196,2018,41.5,-87.5,"Phyciodes tharos"
180,149.5,197,2016,39.5,-84.5,"Phyciodes tharos"
131.6,114,146.4,2017,39.5,-84.5,"Phyciodes tharos"
132.4,127,182,2017,40.5,-83.5,"Phyciodes tharos"
143.4,130,179.7,2017,41.5,-83.5,"Phyciodes tharos"
125.8,118,150,2017,39.5,-82.5,"Phyciodes tharos"
181,141.2,218.1,2016,41.5,-82.5,"Phyciodes tharos"
169,145,198.5,2014,41.5,-81.5,"Phyciodes tharos"
175.8,137.2,186,2015,41.5,-81.5,"Phyciodes tharos"
140.6,122,141,2016,41.5,-81.5,"Phyciodes tharos"
150,127.8,198.5,2017,41.5,-81.5,"Phyciodes tharos"
190,190,212.8,2014,38.5,-77.5,"Phyciodes tharos"
132,131,138.5,2015,38.5,-77.5,"Phyciodes tharos"
130.8,108.4,141,2016,38.5,-77.5,"Phyciodes tharos"
116.1,108,129,2017,38.5,-77.5,"Phyciodes tharos"
154.8,114,199.4,2017,41.5,-93.5,"Papilio glaucus"
146.2,127,158.8,2018,41.5,-93.5,"Papilio glaucus"
196.4,194,229,2016,38.5,-90.5,"Papilio glaucus"
190,128,211,2017,38.5,-90.5,"Papilio glaucus"
117,117,120,2018,38.5,-90.5,"Papilio glaucus"
192.5,134,200,2018,41.5,-88.5,"Papilio glaucus"
189,185,209,2014,41.5,-87.5,"Papilio glaucus"
187.8,159.2,207,2016,41.5,-87.5,"Papilio glaucus"
164.7,157,175,2017,41.5,-87.5,"Papilio glaucus"
170.4,154.8,178,2018,41.5,-87.5,"Papilio glaucus"
181.5,132.5,193.5,2016,39.5,-84.5,"Papilio glaucus"
127,113,153,2017,39.5,-84.5,"Papilio glaucus"
148,145,160,2017,41.5,-83.5,"Papilio glaucus"
129,115,203,2016,39.5,-82.5,"Papilio glaucus"
106.6,95,134.1,2017,39.5,-82.5,"Papilio glaucus"
193.8,156,207,2014,41.5,-81.5,"Papilio glaucus"
139.8,127,203.4,2015,41.5,-81.5,"Papilio glaucus"
141,140,165.8,2016,41.5,-81.5,"Papilio glaucus"
195.2,158,197.8,2017,41.5,-81.5,"Papilio glaucus"
122,117,165.4,2014,38.5,-77.5,"Papilio glaucus"
177.8,107.6,198.4,2015,38.5,-77.5,"Papilio glaucus"
141,137.6,157.8,2016,38.5,-77.5,"Papilio glaucus"
100,98.3,107,2017,38.5,-77.5,"Papilio glaucus"
159.2,155.2,170.8,2015,41.5,-93.5,"Pieris rapae"
151.4,132.4,160,2016,41.5,-93.5,"Pieris rapae"
110.2,102,156,2017,41.5,-93.5,"Pieris rapae"
