file,life_stage,adults
,,
p_polyxenes10020505.jpg,-,1
,,
p_polyxenes10071679.jpg,L,0
,,
p_polyxenes10130598.jpg,L,0
,,
p_polyxenes10138951.jpg,L,0
,,
p_polyxenes10185810.jpg,-,1
,,
p_polyxenes10186116.jpg,-,1
,,
p_polyxenes10186118.jpg,-,1
,,
p_polyxenes10190737.jpg,L,0
,,
p_polyxenes10222102.jpg,L,0
,,
p_polyxenes102264.jpg,-,1
,,
p_polyxenes10264093.jpg,-,1
,,
p_polyxenes10272464.jpg,-,1
,,
p_polyxenes10280891.jpg,-,1
,,
p_polyxenes10495075.jpg,L,0
,,
p_polyxenes10528887.jpg,-,1
,,
p_polyxenes10534376.jpg,L,0
,,
p_polyxenes10786848.jpg,L,0
,,
p_polyxenes10827792.jpg,L,0
,,
p_polyxenes109032.jpg,-,1
,,
p_polyxenes109694.jpg,-,1
,,
p_polyxenes110019.jpg,L,0
,,
p_polyxenes110992.jpg,-,1
,,
p_polyxenes1116314.jpg,-,1
,,
p_polyxenes112044.jpg,L,0
,,
p_polyxenes11270255.jpg,-,1
,,
p_polyxenes113667.jpg,L,0
,,
p_polyxenes11369037.jpg,-,1
,,
p_polyxenes11430116.jpg,-,1
,,
p_polyxenes11526577.jpg,-,1
,,
p_polyxenes115361.jpg,-,1
,,
p_polyxenes1156064.jpg,-,1
,,
p_polyxenes11567469.jpg,L,0
,,
p_polyxenes11584727.jpg,L,0
,,
p_polyxenes116156.jpg,-,1
,,
p_polyxenes11740629.jpg,L,0
,,
p_polyxenes11751848.jpg,-,1
,,
p_polyxenes117943.jpg,L,0
,,
p_polyxenes11808195.jpg,-,1
,,
p_polyxenes11813544.jpg,-,1
,,
p_polyxenes11839148.jpg,-,1
,,
p_polyxenes11970731.jpg,-,1
,,
p_polyxenes120102.jpg,-,1
,,
p_polyxenes1201929.jpg,-,1
,,
p_polyxenes12043987.jpg,-,1
,,
p_polyxenes12053469.jpg,-,1
,,
p_polyxenes12054653.jpg,L,0
,,
p_polyxenes120579.jpg,-,1
,,
p_polyxenes12064153.jpg,-,1
,,
p_polyxenes12078075.jpg,-,1
,,
p_polyxenes120946.jpg,L,0
,,
p_polyxenes12103948.jpg,-,1
,,
p_polyxenes12171779.jpg,P,0
,,
p_polyxenes12173284.jpg,-,1
,,
p_polyxenes12183059.jpg,-,1
,,
p_polyxenes12218976.jpg,-,1
,,
p_polyxenes12237210.jpg,-,1
,,
p_polyxenes122389.jpg,-,1
,,
p_polyxenes12278373.jpg,-,1
,,
p_polyxenes1230462.jpg,L,0
,,
p_polyxenes1230487.jpg,L,0
,,
p_polyxenes12310401.jpg,-,1
,,
p_polyxenes12312879.jpg,-,1
,,
p_polyxenes12377314.jpg,-,1
,,
p_polyxenes12382080.jpg,-,1
,,
p_polyxenes12382123.jpg,-,1
,,
p_polyxenes12402490.jpg,-,1
,,
p_polyxenes12427934.jpg,-,1
,,
p_polyxenes12461649.jpg,-,1
,,
p_polyxenes12465670.jpg,-,1
,,
p_polyxenes12499613.jpg,-,1
,,
p_polyxenes1250583.jpg,-,1
,,
p_polyxenes1253957.jpg,-,1
,,
p_polyxenes12559342.jpg,L,0
,,
p_polyxenes12612515.jpg,-,1
,,
p_polyxenes1261440.jpg,L,0
,,
p_polyxenes12622441.jpg,-,1
,,
p_polyxenes12624050.jpg,L,0
,,
p_polyxenes12658870.jpg,-,1
,,
p_polyxenes12658873.jpg,-,1
,,
p_polyxenes12662464.jpg,-,1
,,
p_polyxenes1267092.jpg,L,0
,,
p_polyxenes12686180.jpg,-,1
,,
p_polyxenes12696164.jpg,-,1
,,
p_polyxenes12696765.jpg,-,1
,,
p_polyxenes12759136.jpg,-,1
,,
p_polyxenes12761003.jpg,-,1
,,
p_polyxenes12778299.jpg,-,1
,,
p_polyxenes12829432.jpg,-,1
,,
p_polyxenes12833297.jpg,-,1
,,
p_polyxenes12834041.jpg,-,1
,,
p_polyxenes12834174.jpg,-,1
,,
p_polyxenes12843506.jpg,-,1
,,
p_polyxenes12854638.jpg,-,1
,,
p_polyxenes12933085.jpg,-,1
,,
p_polyxenes12936701.jpg,L,0
,,
p_polyxenes12938355.jpg,-,1
,,
p_polyxenes129485.jpg,L,0
,,
p_polyxenes12959848.jpg,-,1
,,
p_polyxenes12966292.jpg,-,1
,,
p_polyxenes12969644.jpg,L,0
,,
p_polyxenes12980440.jpg,-,1
,,
p_polyxenes13011328.jpg,L,0
,,
p_polyxenes13011568.jpg,L,0
,,
p_polyxenes13019143.jpg,L,0
,,
p_polyxenes13022791.jpg,L,0
,,
p_polyxenes13036727.jpg,-,1
,,
p_polyxenes13074696.jpg,-,1
,,
p_polyxenes13077547.jpg,L,0
,,
p_polyxenes13115199.jpg,L,0
,,
p_polyxenes13115963.jpg,L,0
,,
p_polyxenes13118197.jpg,L,0
,,
p_polyxenes13119486.jpg,L,0
,,
p_polyxenes13125809.jpg,L,0
,,
p_polyxenes13156461.jpg,L,0
,,
p_polyxenes13159366.jpg,L,0
,,
