"","scientificName","year","lat_bin","lon_bin","region","datasource","emerg.lag"
"1","Atalopedes campestris",2014,38.5,-77.5,"DC","incidental",85.2
"2","Atalopedes campestris",2014,38.5,-77.5,"DC","survey",97
"3","Atalopedes campestris",2017,38.5,-77.5,"DC","incidental",84
"4","Atalopedes campestris",2017,38.5,-77.5,"DC","survey",91
"5","Colias eurytheme",2017,38.5,-77.5,"DC","incidental",22
"6","Colias eurytheme",2017,38.5,-77.5,"DC","survey",3
"7","Colias eurytheme",2016,38.5,-77.5,"DC","incidental",116.1
"8","Colias eurytheme",2016,38.5,-77.5,"DC","survey",13
"9","Danaus plexippus",2015,38.5,-77.5,"DC","incidental",96.2
"10","Danaus plexippus",2015,38.5,-77.5,"DC","survey",95
"11","Danaus plexippus",2017,38.5,-77.5,"DC","incidental",81.3
"12","Danaus plexippus",2017,38.5,-77.5,"DC","survey",49
"13","Danaus plexippus",2016,38.5,-77.5,"DC","incidental",85.8
"14","Danaus plexippus",2016,38.5,-77.5,"DC","survey",103
"15","Epargyreus clarus",2014,38.5,-77.5,"DC","incidental",75
"16","Epargyreus clarus",2014,38.5,-77.5,"DC","survey",71
"17","Epargyreus clarus",2016,38.5,-77.5,"DC","incidental",39.8
"18","Epargyreus clarus",2016,38.5,-77.5,"DC","survey",71
"19","Epargyreus clarus",2017,38.5,-77.5,"DC","incidental",22.4
"20","Epargyreus clarus",2017,38.5,-77.5,"DC","survey",41
"21","Euptoieta claudia",2016,38.5,-77.5,"DC","incidental",88
"22","Euptoieta claudia",2016,38.5,-77.5,"DC","survey",34
"23","Euptoieta claudia",2017,38.5,-77.5,"DC","incidental",-4.90000000000001
"24","Euptoieta claudia",2017,38.5,-77.5,"DC","survey",26
"25","Eurytides marcellus",2016,38.5,-77.5,"DC","incidental",10.9
"26","Eurytides marcellus",2016,38.5,-77.5,"DC","survey",24
"27","Eurytides marcellus",2017,38.5,-77.5,"DC","incidental",10.5
"28","Eurytides marcellus",2017,38.5,-77.5,"DC","survey",15
"29","Everes comyntas",2014,38.5,-77.5,"DC","incidental",75
"30","Everes comyntas",2014,38.5,-77.5,"DC","survey",63
"31","Everes comyntas",2017,38.5,-77.5,"DC","incidental",14
"32","Everes comyntas",2017,38.5,-77.5,"DC","survey",18
