year,lon_bin,lat_bin,scientificName,count
2011,-81,42,Danaus plexippus,25
2011,-81,42,Papilio glaucus,11
2012,-82,42,Abaeis nicippe,13
2012,-82,42,Ancyloxypha numitor,15
2012,-82,42,Asterocampa celtis,26
2012,-82,42,Asterocampa clyton,10
2012,-82,42,Atalopedes campestris,15
2012,-82,42,Celastrina neglecta,25
2012,-82,42,Colias eurytheme,65
2012,-82,42,Colias philodice,36
2012,-82,42,Cupido comyntas,36
2012,-82,42,Danaus plexippus,53
2012,-82,42,Epargyreus clarus,20
2012,-82,42,Euptoieta claudia,11
2012,-82,42,Hylephila phyleus,26
2012,-82,42,Junonia coenia,59
2012,-82,42,Libytheana carinenta,60
2012,-82,42,Limenitis archippus,26
2012,-82,42,Limenitis Limenitis arthemis astyanax,15
2012,-82,42,Nathalis iole,18
2012,-82,42,Nymphalis antiopa,10
2012,-82,42,Papilio cresphontes,53
2012,-82,42,Papilio glaucus,29
2012,-82,42,Papilio polyxenes,24
2012,-82,42,Papilio troilus,19
2012,-82,42,Parrhasius m-album,11
2012,-82,42,Phyciodes cocyta,33
2012,-82,42,Phyciodes tharos,27
2012,-82,42,Pieris rapae,73
2012,-82,42,Polygonia interrogationis,43
2012,-82,42,Pyrgus communis,21
2012,-82,42,Pyrisitia lisa,22
2012,-82,42,Strymon melinus,31
2012,-82,42,Vanessa atalanta,56
2012,-82,42,Vanessa cardui,32
2012,-82,42,Vanessa virginiensis,19
2012,-81,41,Colias philodice,17
2012,-81,41,Danaus plexippus,15
2012,-81,41,Epargyreus clarus,16
2012,-81,41,Hylephila phyleus,15
2012,-81,41,Junonia coenia,12
2012,-81,41,Papilio glaucus,15
2012,-81,41,Phyciodes tharos,34
2012,-81,41,Pieris rapae,32
2012,-81,41,Polites peckius,13
2012,-81,41,Polygonia comma,11
2012,-81,41,Vanessa atalanta,20
2012,-81,41,Vanessa cardui,15
2012,-81,42,Ancyloxypha numitor,19
2012,-81,42,Boloria bellona,10
2012,-81,42,Colias eurytheme,25
2012,-81,42,Colias philodice,28
2012,-81,42,Cupido comyntas,30
2012,-81,42,Danaus plexippus,34
2012,-81,42,Epargyreus clarus,34
2012,-81,42,Erynnis baptisiae,11
2012,-81,42,Euptoieta claudia,18
2012,-81,42,Hylephila phyleus,19
2012,-81,42,Junonia coenia,39
2012,-81,42,Limenitis archippus,15
2012,-81,42,Megisto cymela,11
2012,-81,42,Nathalis iole,12
2012,-81,42,Papilio glaucus,27
2012,-81,42,Papilio polyxenes,20
2012,-81,42,Papilio troilus,15
2012,-81,42,Phoebis sennae,13
2012,-81,42,Phyciodes tharos,57
2012,-81,42,Pieris rapae,45
2012,-81,42,Poanes zabulon,19
2012,-81,42,Polites peckius,26
2012,-81,42,Polygonia interrogationis,26
2012,-81,42,Pyrisitia lisa,19
2012,-81,42,Speyeria cybele,11
2012,-81,42,Thymelicus lineola,17
2012,-81,42,Vanessa atalanta,26
2012,-81,42,Vanessa cardui,26
2012,-81,42,Vanessa virginiensis,22
2012,-77,39,Abaeis nicippe,10
2012,-77,39,Ancyloxypha numitor,15
2012,-77,39,Atalopedes campestris,35
2012,-77,39,Chlosyne nycteis,10
2012,-77,39,Colias eurytheme,23
2012,-77,39,Cupido comyntas,27
2012,-77,39,Danaus plexippus,29
2012,-77,39,Euptoieta claudia,12
2012,-77,39,Hylephila phyleus,15
2012,-77,39,Junonia coenia,30
2012,-77,39,Lerema accius,17
2012,-77,39,Limenitis archippus,11
2012,-77,39,Papilio glaucus,24
2012,-77,39,Phoebis sennae,10
2012,-77,39,Phyciodes tharos,29
2012,-77,39,Pieris rapae,26
2012,-77,39,Poanes zabulon,10
2012,-77,39,Pyrisitia lisa,14
2012,-77,39,Vanessa atalanta,11
2012,-76,40,Colias eurytheme,29
2012,-76,40,Colias philodice,10
2012,-76,40,Cupido comyntas,18
2012,-76,40,Phyciodes tharos,19
2012,-76,40,Pieris rapae,23
2012,-76,40,Vanessa atalanta,11
2013,-88,41,Colias eurytheme,10
2013,-82,42,Ancyloxypha numitor,15
2013,-82,42,Asterocampa celtis,18
2013,-82,42,Asterocampa clyton,10
2013,-82,42,Celastrina neglecta,34
2013,-82,42,Colias eurytheme,31
2013,-82,42,Colias philodice,21
2013,-82,42,Cupido comyntas,15
2013,-82,42,Danaus plexippus,23
2013,-82,42,Euphyes vestris,13
2013,-82,42,Libytheana carinenta,13
2013,-82,42,Limenitis archippus,13
2013,-82,42,Limenitis Limenitis arthemis astyanax,25
2013,-82,42,Papilio cresphontes,29
2013,-82,42,Papilio glaucus,28
2013,-82,42,Papilio polyxenes,13
2013,-82,42,Pieris rapae,41
2013,-82,42,Polygonia comma,11
2013,-82,42,Polygonia interrogationis,16
2013,-82,42,Vanessa atalanta,18
2013,-81,42,Cupido comyntas,12
2013,-81,42,Danaus plexippus,13
2013,-81,42,Papilio glaucus,24
2013,-81,42,Phyciodes tharos,15
2013,-81,42,Pieris rapae,12
2013,-78,39,Epargyreus clarus,10
2013,-78,39,Papilio glaucus,21
2013,-78,39,Phyciodes tharos,12
2013,-77,39,Cupido comyntas,11
2013,-77,39,Eurytides marcellus,12
2013,-77,39,Papilio glaucus,21
2013,-77,39,Pieris rapae,14
2013,-77,40,Atalopedes campestris,20
2013,-77,40,Colias eurytheme,15
2013,-77,40,Cupido comyntas,12
2013,-77,40,Papilio glaucus,21
2013,-77,40,Pieris rapae,19
2013,-77,41,Colias eurytheme,12
2013,-77,41,Cupido comyntas,13
2013,-77,41,Epargyreus clarus,12
2013,-76,39,Ancyloxypha numitor,23
2013,-76,39,Atalopedes campestris,44
2013,-76,39,Celastrina neglecta,17
2013,-76,39,Colias eurytheme,19
2013,-76,39,Cupido comyntas,30
2013,-76,39,Epargyreus clarus,27
2013,-76,39,Euptoieta claudia,13
2013,-76,39,Eurytides marcellus,11
2013,-76,39,Limenitis archippus,19
2013,-76,39,Limenitis arthemis astyanax,10
2013,-76,39,Papilio glaucus,33
2013,-76,39,Papilio troilus,13
2013,-76,39,Phyciodes tharos,26
2013,-76,39,Pieris rapae,21
2013,-76,39,Poanes zabulon,16
2013,-76,39,Polygonia comma,11
2013,-76,39,Strymon melinus,12
2013,-76,40,Ancyloxypha numitor,21
2013,-76,40,Atalopedes campestris,34
2013,-76,40,Calycopis cecrops,14
2013,-76,40,Celastrina neglecta,14
2013,-76,40,Colias eurytheme,29
2013,-76,40,Colias philodice,12
2013,-76,40,Cupido comyntas,57
2013,-76,40,Epargyreus clarus,19
2013,-76,40,Erynnis baptisiae,10
2013,-76,40,Erynnis horatius,13
2013,-76,40,Euptoieta claudia,14
2013,-76,40,Eurytides marcellus,14
2013,-76,40,Limenitis Limenitis arthemis astyanax,10
