scientificName,sciname
Ancyloxypha numitor,A. numitor
Asterocampa celtis,A. celtis
Atalopedes campestris,A. campestris
Battus philenor,B. philenor
Cercyonis pegala,C. pegala
Chlosyne nycteis,C. nycteis
Colias eurytheme,C. eurytheme
Colias philodice,C. philodice
Danaus plexippus,D. plexippus
Epargyreus clarus,E. clarus
Erynnis baptisiae,E. baptisiae
Euptoieta claudia,E. claudia
Eurytides marcellus,E. marcellus
Everes comyntas,E. comyntas
Junonia coenia,J. coenia
Lerema accius,L. accius
Limenitis archippus,L. archippus
Limenitis arthemis astyanax,L. arthemis astyanax
Megisto cymela,M. cymela
Nastra lherminier,N. lherminier
Nymphalis antiopa,N. antiopa
Papilio cresphontes,P. cresphontes
Papilio glaucus,P. glaucus
Papilio polyxenes,P. polyxenes
Papilio troilus,P. troilus
Phyciodes tharos,P. tharos
Pieris rapae,P. rapae
Poanes hobomok,P. hobomok
Poanes zabulon,P. zabulon
Polites peckius,P. peckius
Polites themistocles,P. themistocles
Polygonia comma,P. comma
Polygonia interrogationis,P. interrogationis
Pyrgus communis,P. communis
Satyrium calanus,S. calanus
Satyrium titus,
Speyeria cybele,S. cybele
Vanessa atalanta,V. atalanta
Vanessa cardui,V. cardui
Vanessa virginiensis,V. virginiensis
