"","lat_bin","lon_bin","scientificName","year"
"1",38.5,-83.5,"Colias eurytheme",2012
"2",38.5,-83.5,"Epargyreus clarus",2012
"3",38.5,-83.5,"Eurytides marcellus",2012
"4",38.5,-83.5,"Junonia coenia",2012
"5",38.5,-83.5,"Megisto cymela",2012
"6",38.5,-83.5,"Phyciodes tharos",2012
"7",38.5,-83.5,"Poanes hobomok",2012
"8",38.5,-83.5,"Polygonia interrogationis",2012
"9",38.5,-83.5,"Speyeria cybele",2012
"10",38.5,-83.5,"Vanessa cardui",2012
"11",38.5,-77.5,"Ancyloxypha numitor",2012
"12",38.5,-77.5,"Atalopedes campestris",2012
"13",38.5,-77.5,"Callophrys niphon",2012
"14",38.5,-77.5,"Cercyonis pegala",2012
"15",38.5,-77.5,"Colias eurytheme",2012
"16",38.5,-77.5,"Colias philodice",2012
"17",38.5,-77.5,"Cupido comyntas",2012
"18",38.5,-77.5,"Danaus plexippus",2012
"19",38.5,-77.5,"Epargyreus clarus",2012
"20",38.5,-77.5,"Erynnis baptisiae",2012
"21",38.5,-77.5,"Euptoieta claudia",2012
"22",38.5,-77.5,"Eurytides marcellus",2012
"23",38.5,-77.5,"Junonia coenia",2012
"24",38.5,-77.5,"Lerema accius",2012
"25",38.5,-77.5,"Limenitis archippus",2012
"26",38.5,-77.5,"Megisto cymela",2012
"27",38.5,-77.5,"Nastra lherminier",2012
"28",38.5,-77.5,"Nymphalis antiopa",2012
"29",38.5,-77.5,"Papilio glaucus",2012
"30",38.5,-77.5,"Papilio polyxenes",2012
"31",38.5,-77.5,"Papilio troilus",2012
"32",38.5,-77.5,"Phyciodes tharos",2012
"33",38.5,-77.5,"Pieris rapae",2012
"34",38.5,-77.5,"Poanes zabulon",2012
"35",38.5,-77.5,"Polites themistocles",2012
"36",38.5,-77.5,"Polygonia comma",2012
"37",38.5,-77.5,"Polygonia interrogationis",2012
"38",38.5,-77.5,"Speyeria cybele",2012
"39",38.5,-77.5,"Vanessa atalanta",2012
"40",38.5,-77.5,"Vanessa cardui",2012
"41",38.5,-77.5,"Vanessa virginiensis",2012
"42",39.5,-84.5,"Ancyloxypha numitor",2012
"43",39.5,-84.5,"Asterocampa celtis",2012
"44",39.5,-84.5,"Atalopedes campestris",2012
"45",39.5,-84.5,"Cercyonis pegala",2012
"46",39.5,-84.5,"Colias eurytheme",2012
"47",39.5,-84.5,"Danaus plexippus",2012
