file,adults,life_stage
,,
l_archippus10049702.jpg,1,-
,,
l_archippus10130361.jpg,1,-
,,
l_archippus10130709.jpg,1,-
,,
l_archippus10147313.jpg,1,-
,,
l_archippus101696.jpg,1,-
,,
l_archippus1023592.jpg,1,-
,,
l_archippus1023763.jpg,1,-
,,
l_archippus10284252.jpg,1,-
,,
l_archippus1075616.jpg,1,-
,,
l_archippus108752.jpg,1,-
,,
l_archippus108753.jpg,1,-
,,
l_archippus1088784.jpg,1,-
,,
l_archippus109704.jpg,1,-
,,
l_archippus11335695.jpg,1,-
,,
l_archippus113601.jpg,1,-
,,
l_archippus1148377.jpg,1,-
,,
l_archippus115711.jpg,1,-
,,
l_archippus1185831.jpg,1,-
,,
l_archippus118880.jpg,1,-
,,
l_archippus11999301.jpg,1,-
,,
l_archippus120945.jpg,1,-
,,
l_archippus12229483.jpg,1,-
,,
l_archippus12333753.jpg,1,-
,,
l_archippus1253973.jpg,1,-
,,
l_archippus12541420.jpg,1,-
,,
l_archippus12542405.jpg,1,-
,,
l_archippus12543246.jpg,0,L
,,
l_archippus12558676.jpg,1,-
,,
l_archippus12562592.jpg,1,-
,,
l_archippus12766381.jpg,1,-
,,
l_archippus12781262.jpg,1,-
,,
l_archippus12847685.jpg,1,-
,,
l_archippus12855735.jpg,1,-
,,
l_archippus12874027.jpg,1,-
,,
l_archippus12908851.jpg,1,-
,,
l_archippus1291799.jpg,1,-
,,
l_archippus12953405.jpg,1,-
,,
l_archippus12953829.jpg,0,L
,,
l_archippus12953831.jpg,0,L
,,
l_archippus12955462.jpg,1,-
,,
l_archippus13012804.jpg,1,-
,,
l_archippus13044112.jpg,1,-
,,
l_archippus13099873.jpg,1,-
,,
l_archippus13124435.jpg,1,-
,,
l_archippus13180857.jpg,1,-
,,
l_archippus13190236.jpg,1,-
,,
l_archippus13228664.jpg,1,-
,,
l_archippus13245542.jpg,1,-
,,
l_archippus13256538.jpg,1,-
,,
l_archippus13363988.jpg,0,L
,,
l_archippus13390495.jpg,1,-
,,
l_archippus13407445.jpg,1,-
,,
l_archippus134306.jpg,1,-
,,
l_archippus134372.jpg,1,-
,,
l_archippus134373.jpg,1,-
,,
l_archippus13438961.jpg,0,L
,,
l_archippus13470724.jpg,1,-
,,
l_archippus13479046.jpg,0,L
,,
l_archippus13512395.jpg,1,-
,,
l_archippus13512409.jpg,1,-
,,
l_archippus13518658.jpg,1,-
,,
l_archippus13553508.jpg,1,-
,,
l_archippus13589700.jpg,1,-
,,
l_archippus13602861.jpg,0,L
,,
l_archippus13612069.jpg,1,-
,,
l_archippus13646076.jpg,1,-
,,
l_archippus13674687.jpg,1,-
,,
